GeneID,Gene Symbol,pvalue,log2FoldChange
407003,MIR219A2,7.51E-11,3.005440347
643965,TMEM88B,1.48E-11,2.764065095
100463486,MTRNR2L8,1.19E-07,2.513924999
79931,TNIP3,1.05E-08,2.343086053
158297,SAXO1,1.16E-11,2.092366934
389033,PLAC9P1,1.49E-07,2.069375889
400935,IL17REL,8.86E-08,2.055899165
107985035,LOC107985035,1.73E-06,1.980512643
106632264,RNA28SN1,5.24E-07,1.958345686
81796,SLCO5A1,7.33E-09,1.955496134
57571,CARNS1,3.74E-08,1.91968456
127833,SYT2,3.00E-10,1.870028068
109864272,RNA28SN4,7.98E-07,1.86820096
100008589,RNA28SN5,1.10E-06,1.860869447
112268313,LOC112268313,2.75E-07,1.829715092
4308,TRPM1,0.000292174,1.81643809
109910382,RNA28SN3,1.94E-06,1.798796321
109864271,RNA45SN4,1.66E-06,1.779615391
109864282,RNA28SN2,2.60E-06,1.778733241
112268284,LOC112268284,2.75E-06,1.769833899
101929116,LOC101929116,8.74E-05,1.760902432
105374411,LINC02278,1.48E-05,1.758285106
100996295,DNAH17-AS1,2.75E-05,1.71626399
100130698,LOC100130698,1.83E-06,1.711096026
109864279,RNA45SN2,4.02E-06,1.702778684
3881,KRT31,4.73E-05,1.686894069
109910379,RNA45SN3,5.09E-06,1.684942924
1755,DMBT1,1.64E-05,1.657610131
107986019,LOC107986019,0.000955077,1.650573804
101928087,LOC101928087,3.44E-05,1.635914783
285972,LINC00996,0.008377678,1.616317918
128218,TMEM125,9.60E-07,1.611917347
3231,HOXD1,1.06E-05,1.586329846
285045,LINC00486,7.13E-08,1.585875904
2864,FFAR1,0.00054004,1.580763946
101928576,LOC101928576,5.42E-07,1.57784522
112268227,LOC112268227,0.00077992,1.558279358
100379249,BOK-AS1,3.64E-05,1.545374738
100861532,RNA45SN5,2.37E-05,1.528059706
165530,CLEC4F,0.000368269,1.522188489
342035,GLDN,6.94E-07,1.520602354
2832,NPBWR2,0.002604554,1.520149974
102724404,NIPAL4-DT,0.000107003,1.489841001
105369351,KLC2-AS2,6.17E-09,1.487183487
1038,CDR1,8.50E-08,1.484837611
100861519,GDNF-AS1,8.59E-06,1.484063958
107986800,LOC107986800,5.87E-05,1.481819319
112268052,LOC112268052,1.10E-06,1.475732868
101927999,LOC101927999,0.001338201,1.459341504
1610,DAO,0.000929116,1.458112022
100652739,RAET1E-AS1,1.37E-09,1.436431127
106631777,RNA45SN1,6.61E-05,1.436357277
113157,RPLP0P2,6.07E-08,1.430312678
116173,CMTM5,2.47E-06,1.428937166
406941,MIR149,6.84E-06,1.422480594
219595,FOLH1B,1.70E-05,1.422027903
401115,C4orf48,1.99E-08,1.420288055
100302229,MIR1250,0.000276906,1.41632873
100128946,LINC01310,1.60E-09,1.411769454
107987399,LOC107987399,0.000112369,1.40675925
5794,PTPRH,7.22E-07,1.395078853
112268421,LOC112268421,0.000959226,1.392573489
4099,MAG,6.80E-05,1.38605439
100126325,MIR935,1.09E-05,1.384082535
109864274,RNA5-8SN4,0.005012058,1.378710827
107985282,LOC107985282,2.26E-06,1.365354845
389816,LRRC26,0.000222623,1.361927204
101060341,LOC101060341,0.00110819,1.359822465
4588,MUC6,9.91E-05,1.358379515
1080,CFTR,0.000182569,1.354244323
84830,ADTRP,5.64E-07,1.353841494
10110,SGK2,6.04E-06,1.348095285
286186,LINC01299,0.000160296,1.346820288
107987178,LOC107987178,0.001161466,1.344946099
1360,CPB1,0.018192276,1.342274297
11155,LDB3,1.67E-06,1.341999243
105378161,LOC105378161,2.10E-05,1.335575486
112268070,LOC112268070,0.000271496,1.3349294
101930276,LOC101930276,0.000431414,1.331336118
109864280,RNA18SN2,0.000257428,1.32639067
348938,NIPAL4,0.00034539,1.316274627
135932,TMEM139,3.70E-05,1.315402406
101927345,LOC101927345,0.002076035,1.308182017
2705,GJB1,9.77E-05,1.307457127
750,GAS8-AS1,2.11E-06,1.304510194
105373057,LOC105373057,0.000222959,1.302128759
107984089,LOC107984089,9.44E-07,1.30075702
107984835,LOC107984835,2.93E-05,1.300134406
2819,GPD1,4.07E-12,1.292962113
390664,C1QTNF8,0.001140272,1.289481025
54958,TMEM160,1.97E-09,1.288267845
109910381,RNA5-8SN3,0.00631325,1.282946919
109910380,RNA18SN3,0.000370243,1.282491673
346171,ZFP57,0.000491923,1.281188258
94274,PPP1R14A,6.15E-05,1.278238971
105375542,LOC105375542,0.000425314,1.274824385
107986569,LOC107986569,0.009916577,1.272898569
109864273,RNA18SN4,0.000339364,1.26787506
101927503,LINC02688,0.000873783,1.261454732
107985430,LOC107985430,0.000701909,1.257019115
102723996,LOC102723996,4.45E-05,1.2551591
134285,TMEM171,1.05E-05,1.254781479
112268101,LOC112268101,0.003486202,1.253815504
339241,KRT17P2,1.29E-08,1.252565201
102723442,LINC01754,0.001379899,1.251878524
101928251,LOC101928251,0.000621115,1.250704603
106631781,RNA18SN1,0.000460204,1.247965744
147228,KRT17P1,2.91E-08,1.247410705
101929964,LOC101929964,2.02E-05,1.244652768
107986566,LOC107986566,6.15E-06,1.244496036
387065,HMGA1P7,0.001173014,1.243783444
53828,FXYD4,0.00321912,1.243017142
105372523,LOC105372523,1.86E-05,1.242705934
105371761,LOC105371761,0.001985883,1.2376284
100008588,RNA18SN5,0.000447013,1.235991846
79992,AGPAT4-IT1,0.000140986,1.23405757
285126,DNAJC5G,2.70E-06,1.232789003
105377826,LINC02887,5.49E-05,1.230630435
399888,FAM180B,4.51E-05,1.228445507
51148,CERCAM,5.21E-05,1.228348094
107986305,LOC107986305,8.43E-05,1.225335089
101929819,LOC101929819,0.000547863,1.224290304
100286986,LOC100286986,0.002940647,1.223391765
104355135,LINC00431,7.26E-05,1.223179266
10886,NPFFR2,0.00061224,1.221980136
388849,CCDC188,4.48E-08,1.215943357
107984847,LOC107984847,3.67E-05,1.210480086
112267878,LOC112267878,0.000648748,1.206310916
105370756,LOC105370756,1.32E-05,1.201775581
80086,TUBA4B,3.90E-05,1.199107657
286430,NLRP2B,5.42E-06,1.197202572
283999,TMEM235,0.000499817,1.196888443
105377800,LOC105377800,0.000124984,1.191937941
102800310,HAGLROS,0.009875049,1.191390466
105375635,LOC105375635,0.007084371,1.189921516
84618,NT5C1A,0.000232986,1.188126796
391123,VSIG8,2.40E-05,1.185120786
112267951,LOC112267951,2.89E-05,1.176959675
8552,INE1,6.02E-06,1.175865607
6010,RHO,1.81E-05,1.173370769
619207,SCART1,5.03E-08,1.168503216
105373004,SYN3-AS1,0.000793823,1.166573977
100505929,LINC01549,0.001087219,1.164885424
58476,TP53INP2,3.01E-05,1.163986317
140893,RBBP8NL,0.008867662,1.162306157
109864281,RNA5-8SN2,0.01930853,1.161616383
107984777,LOC107984777,0.000105577,1.159904545
401036,ASB18,0.000752112,1.155683328
105374869,LOC105374869,0.002754082,1.15233701
401022,HAGLR,0.001849231,1.151574651
100191040,C2CD4D,3.98E-11,1.148175816
285766,LOC285766,0.001275124,1.147824616
85495,RPPH1,0.00811164,1.141759764
107986910,LOC107986910,1.35E-08,1.13444071
102465429,MIR6511B1,0.000457796,1.129301923
107985322,LOC107985322,5.15E-05,1.128852612
389332,SMIM32,3.33E-05,1.127516518
93377,OPALIN,0.000110778,1.127511743
100131604,DPP4-DT,0.000112053,1.124234087
63973,NEUROG2,0.000300252,1.120564455
107986675,LOC107986675,7.94E-05,1.118990822
28526,TRDC,0.000698992,1.116414536
103171574,LOC103171574,0.002285758,1.116147307
105374056,LOC105374056,0.002606057,1.11582084
105369520,LOC105369520,5.58E-05,1.114354675
105378256,LOC105378256,0.001579851,1.113799857
2168,FABP1,0.006745131,1.112378234
283547,LINC00639,6.97E-05,1.112038483
107985299,LOC107985299,0.000126412,1.111603775
107984805,LOC107984805,0.000889555,1.110564753
107985303,LOC107985303,6.72E-07,1.104275104
54766,BTG4,0.007358414,1.103553409
389633,FAM90A25P,1.33E-05,1.103225277
107984113,LOC107984113,0.000316808,1.09980425
2346,FOLH1,0.00061028,1.0990867
107985795,LOC107985795,0.002653943,1.097211703
107985902,LOC107985902,0.000381172,1.094976726
9723,SEMA3E,2.86E-05,1.092484484
27201,GPR78,0.000207465,1.092237408
728310,GOLGA6L7,0.000239209,1.085672227
1515,CTSV,9.32E-05,1.082734791
6962,TRBV20OR9-2,0.000184937,1.082563581
105369667,LOC105369667,0.000488156,1.081215154
105377585,LINC02427,4.75E-05,1.080842213
7054,TH,0.000255504,1.080137567
105373366,IDS2,8.31E-05,1.077559087
107987398,LOC107987398,8.02E-05,1.07692599
107984510,LOC107984510,0.005193578,1.076770971
109623464,SNORA119,0.000606205,1.075952351
131669,UROC1,1.03E-07,1.073121406
400932,LINC00898,0.000257253,1.072470689
105370169,LOC105370169,0.005462761,1.069629205
23415,KCNH4,3.69E-05,1.067453848
728758,PIN4P1,0.002079417,1.067158104
441531,PGAM4,2.91E-10,1.065120916
105377647,LOC105377647,0.001942482,1.063945721
105377743,LOC105377743,0.001295287,1.062822969
105375429,LOC105375429,0.004521035,1.059271096
112267861,LOC112267861,0.000597031,1.058501811
645700,ZNF890P,3.92E-07,1.057206891
79957,PAQR6,2.43E-05,1.054849796
105371314,LOC105371314,0.000285786,1.054489912
83894,TTC29,0.000904484,1.053463079
57165,GJC2,0.00027804,1.053317459
339260,LOC339260,0.002686275,1.053155611
100271874,ZNRF2P2,7.59E-07,1.051665122
2668,GDNF,0.002734818,1.049967732
101929402,EXTL3-AS1,5.21E-05,1.046916767
105378576,LOC105378576,0.002547812,1.046595532
4340,MOG,0.001507642,1.044905421
4336,MOBP,0.002348471,1.042553616
109623456,SNORD167,2.39E-06,1.03991511
4155,MBP,0.034467923,1.039420865
100286906,LINC03010,0.003302575,1.038831949
105376704,LOC105376704,0.000708761,1.038315994
284260,LINC00907,0.000994024,1.03711015
6023,RMRP,0.035448527,1.036556368
9507,ADAMTS4,0.002483162,1.035806873
101927441,EFHD2-AS1,1.67E-05,1.03571988
107985779,LOC107985779,0.004418296,1.035390385
1579,CYP4A11,1.55E-05,1.034143628
284240,LOC284240,0.001094358,1.032944686
1267,CNP,0.000131217,1.030144288
101928988,LOC101928988,0.002464085,1.029263324
126147,NTN5,4.26E-07,1.029042413
107984398,LOC107984398,1.49E-05,1.028921135
158435,LOC158435,4.98E-05,1.028325101
105377789,LOC105377789,0.014069189,1.027432831
9635,CLCA2,0.003464152,1.025924056
107984124,LOC107984124,7.42E-05,1.025861629
79152,FA2H,0.003355291,1.024482387
107985847,LOC107985847,0.000170792,1.022765532
106632260,RNA5-8SN1,0.041645426,1.021627209
221416,LINC03040,0.000132176,1.021486196
441208,ZNRF2P1,2.10E-06,1.021482286
101060187,LOC101060187,0.006163442,1.01967688
650747,IMPA1P1,0.001272023,1.018023952
4070,TACSTD2,0.007736367,1.016432558
100132103,FAM66E,1.97E-05,1.014367684
100132077,LOC100132077,0.002546639,1.014364391
253868,CRMA,1.56E-05,1.014125933
768222,MIR770,2.97E-06,1.010817779
23452,ANGPTL2,2.16E-05,1.010480483
1549,CYP2A7,4.70E-05,1.010428507
105375469,LOC105375469,0.008228988,1.009629717
22987,SV2C,7.55E-05,1.009288392
105373009,LL22NC03-13G6.2,0.019886643,1.006724509
101927583,LOC101927583,0.000219595,1.006450459
107986175,LOC107986175,0.000886545,1.005287601
440570,LOC440570,0.001329455,1.004055082
101930105,FAM239A,0.003714003,1.003711908
107987118,LOC107987118,4.66E-05,1.003477035
653,BMP5,9.51E-16,-4.592784574
4969,OGN,1.42E-16,-4.371601218
387700,SLC16A12,1.54E-18,-4.093679048
10736,SIX2,7.55E-13,-3.994251976
9376,SLC22A8,8.22E-09,-3.897539431
127707,KLHDC7A,1.10E-07,-3.778626557
6495,SIX1,1.09E-20,-3.688594069
54102,CLIC6,2.05E-15,-3.666648902
115111,SLC26A7,8.77E-20,-3.646487741
7850,IL1R2,1.05E-11,-3.542751037
6283,S100A12,2.38E-08,-3.514013626
2306,FOXD2,9.17E-11,-3.401410335
100131176,WDR86-AS1,1.31E-16,-3.294282277
6590,SLPI,1.34E-13,-3.214482016
55304,SPTLC3,1.38E-18,-3.086247305
2213,FCGR2B,2.35E-13,-3.069314475
161291,TMEM30B,2.92E-13,-3.056129794
3053,SERPIND1,8.87E-11,-3.054727243
286133,SCARA5,7.09E-14,-3.054673651
5729,PTGDR,3.64E-15,-3.05074254
8685,MARCO,6.28E-08,-3.035403071
1832,DSP,1.75E-17,-2.97604328
26266,SLC13A4,9.16E-12,-2.923574381
8875,VNN2,6.80E-18,-2.913108323
79083,MLPH,1.34E-15,-2.842925467
3500,IGHG1,2.92E-08,-2.756045193
54716,SLC6A20,6.78E-19,-2.709549971
3481,IGF2,4.91E-12,-2.68781602
723961,INS-IGF2,3.89E-12,-2.685631909
4256,MGP,1.56E-11,-2.659736649
1381,CRABP1,5.90E-19,-2.648077024
2303,FOXC2,6.92E-09,-2.627738221
120425,JAML,1.63E-13,-2.619423099
1580,CYP4B1,1.14E-10,-2.588312279
4360,MRC1,2.16E-16,-2.544089231
4496,MT1H,9.56E-13,-2.540586484
51311,TLR8,2.75E-09,-2.487039806
642934,CERNA2,1.28E-05,-2.47799298
3645,INSRR,3.48E-06,-2.474975032
107985305,CEACAM16-AS1,3.39E-10,-2.418105237
4958,OMD,1.91E-18,-2.384758531
353514,LILRA5,3.41E-06,-2.383210575
57126,CD177,1.30E-11,-2.364376325
728597,DCDC2C,6.95E-08,-2.328660197
6279,S100A8,5.04E-06,-2.295768303
6280,S100A9,4.90E-06,-2.2953589
9356,SLC22A6,7.12E-09,-2.290132118
8532,CPZ,7.33E-12,-2.286370067
6528,SLC5A5,5.14E-05,-2.285321441
5996,RGS1,6.57E-07,-2.270707026
6913,TBX15,6.34E-14,-2.252163069
2706,GJB2,3.51E-11,-2.223302937
1880,GPR183,4.10E-08,-2.215908809
730,C7,1.45E-10,-2.201102978
9332,CD163,1.42E-05,-2.194644815
654463,FER1L6,1.26E-07,-2.187416191
185,AGTR1,6.26E-08,-2.183421313
2331,FMOD,1.36E-09,-2.168552991
9052,GPRC5A,0.000171686,-2.142881675
10875,FGL2,1.27E-10,-2.140642687
2297,FOXD1,7.62E-15,-2.135941251
4982,TNFRSF11B,1.53E-08,-2.1275314
1278,COL1A2,2.73E-09,-2.120907879
10205,MPZL2,3.25E-08,-2.117008947
4498,MT1JP,0.000111952,-2.112271602
1829,DSG2,1.35E-07,-2.108466117
22915,MMRN1,5.62E-07,-2.043271175
64220,STRA6,3.10E-08,-2.033355645
54796,BNC2,7.89E-10,-2.029427602
23704,KCNE4,6.21E-11,-2.023614965
221091,LRRN4CL,2.51E-11,-2.017668981
3606,IL18,1.01E-12,-2.006640079
133584,EGFLAM,9.38E-08,-2.005974162
1277,COL1A1,1.99E-05,-1.992404883
105371849,HEATR6-DT,1.55E-07,-1.982611959
105371578,LOC105371578,8.33E-08,-1.955382078
3880,KRT19,3.56E-07,-1.954794488
6275,S100A4,5.85E-10,-1.951629496
102546175,LINC01338,1.85E-10,-1.936322318
10894,LYVE1,2.46E-09,-1.935628795
3576,CXCL8,9.64E-05,-1.932682761
4069,LYZ,3.45E-09,-1.929960009
339535,LINC01139,1.03E-06,-1.914295244
493869,GPX8,6.53E-07,-1.911398485
130497,OSR1,4.28E-09,-1.909633896
51338,MS4A4A,1.45E-07,-1.898880909
3875,KRT18,7.74E-05,-1.894212662
4318,MMP9,2.18E-13,-1.876945994
316,AOX1,4.63E-11,-1.872150003
1280,COL2A1,1.25E-07,-1.868310304
26253,CLEC4E,0.000219672,-1.864558428
4495,MT1G,1.00E-10,-1.85918573
653567,TMEM236,8.83E-08,-1.834696301
3075,CFH,1.39E-11,-1.834199369
3514,IGKC,2.56E-05,-1.829830346
84793,FOXD2-AS1,1.94E-06,-1.828234215
112268426,LOC112268426,2.39E-11,-1.822332189
8530,CST7,2.56E-08,-1.81870095
3501,IGHG2,0.000680585,-1.812312557
2162,F13A1,6.75E-09,-1.811120994
5732,PTGER2,1.74E-08,-1.810509923
3953,LEPR,5.40E-13,-1.782548337
79689,STEAP4,1.26E-05,-1.766214399
7475,WNT6,3.98E-09,-1.764073602
2296,FOXC1,9.37E-12,-1.76190653
3975,LHX1,2.62E-07,-1.759728797
304,ANXA2P2,2.96E-07,-1.74787957
101928034,LOC101928034,9.59E-09,-1.735792011
2204,FCAR,0.000481065,-1.733415787
2619,GAS1,2.27E-13,-1.729805258
1634,DCN,2.93E-13,-1.716871197
93166,PRDM6,7.65E-12,-1.714120691
2719,GPC3,1.94E-06,-1.708625764
4494,MT1F,6.16E-12,-1.707106862
4500,MT1L,4.30E-10,-1.703096505
6542,SLC7A2,1.99E-09,-1.701890844
100505875,LINC01088,1.74E-06,-1.70018827
2487,FRZB,5.63E-08,-1.699899377
158062,LCN6,2.09E-07,-1.699401113
1066,CES1,0.000107717,-1.696730332
5318,PKP2,1.08E-10,-1.692399571
9103,FCGR2C,5.20E-07,-1.678341434
302,ANXA2,3.02E-08,-1.66715771
169611,OLFML2A,5.16E-08,-1.665916697
80310,PDGFD,7.20E-10,-1.662463412
100288798,SLC38A4-AS1,4.10E-11,-1.659626708
7412,VCAM1,1.39E-05,-1.6557762
597,BCL2A1,0.000339897,-1.643490583
3493,IGHA1,0.012875969,-1.635050691
64231,MS4A6A,6.58E-06,-1.629956165
4778,NFE2,5.54E-06,-1.628179302
151534,LBX2-AS1,2.82E-08,-1.618872179
4499,MT1M,7.46E-10,-1.595120194
30835,CD209,5.24E-05,-1.593591642
3769,KCNJ13,1.51E-05,-1.591604168
440738,MAP1LC3C,2.54E-09,-1.588203354
60529,ALX4,0.000121433,-1.575055016
414332,LCN10,1.11E-07,-1.573703377
125,ADH1B,0.000170604,-1.570097515
60675,PROK2,1.77E-05,-1.5696449
107985692,LOC107985692,1.29E-07,-1.56840937
10990,LILRB5,3.48E-07,-1.567712648
8807,IL18RAP,3.39E-06,-1.562876716
55244,SLC47A1,8.19E-11,-1.558922129
27286,SRPX2,4.02E-09,-1.555364533
2215,FCGR3B,3.54E-05,-1.54887492
1842,ECM2,4.40E-05,-1.538659509
114036,LINC00310,3.25E-06,-1.537956861
155051,CRYGN,2.49E-06,-1.532914587
9022,CLIC3,1.28E-06,-1.531568502
5350,PLN,0.002664697,-1.530429555
79875,THSD4,1.72E-09,-1.528212155
9427,ECEL1,8.04E-05,-1.524775724
283755,HERC2P3,3.06E-09,-1.521056412
5737,PTGFR,2.64E-08,-1.519738158
4811,NID1,3.95E-11,-1.518268349
4223,MEOX2,4.91E-11,-1.513244799
2919,CXCL1,0.001133933,-1.511310228
11082,ESM1,0.000610762,-1.509357196
3976,LIF,0.006570528,-1.506845889
27284,SULT1B1,3.06E-07,-1.506018902
107986110,LOC107986110,7.16E-05,-1.503688189
2570,GABRR2,4.75E-11,-1.502478376
5104,SERPINA5,0.000893108,-1.497577636
7291,TWIST1,1.95E-11,-1.493002127
342527,SMTNL2,1.30E-08,-1.490960936
9096,TBX18,7.98E-05,-1.487997191
688,KLF5,3.21E-09,-1.481380515
51316,PLAC8,0.000232302,-1.48071247
64407,RGS18,2.75E-07,-1.479731525
101928156,LOC101928156,7.43E-09,-1.475716959
247,ALOX15B,1.87E-10,-1.473663593
79625,NDNF,5.86E-07,-1.472795263
9314,KLF4,1.81E-07,-1.472500195
1545,CYP1B1,1.43E-06,-1.470762569
105371880,LOC105371880,3.25E-05,-1.4693019
1800,DPEP1,6.01E-06,-1.46905527
105378606,LOC105378606,2.55E-05,-1.464816314
286178,LINC03018,1.25E-06,-1.455995966
7852,CXCR4,1.33E-09,-1.455679006
9182,RASSF9,3.88E-05,-1.451679602
6039,RNASE6,1.04E-07,-1.450549812
6910,TBX5,0.001148745,-1.449217133
101927879,LOC101927879,0.000112325,-1.447281532
4608,MYBPH,6.39E-06,-1.444576444
153478,PLEKHG4B,1.88E-07,-1.443697714
5118,PCOLCE,3.54E-10,-1.440179357
9976,CLEC2B,1.51E-11,-1.438657693
374907,B3GNT8,3.12E-07,-1.435699373
101927532,LINC01736,7.15E-06,-1.43395717
55301,OLAH,1.06E-06,-1.426802929
93035,PKHD1L1,0.003250514,-1.426268571
112268449,LOC112268449,9.43E-06,-1.425994345
643834,PGA3,3.35E-07,-1.425497513
100288122,LDLRAD4-AS1,3.08E-05,-1.424367937
4487,MSX1,3.95E-10,-1.42436733
2921,CXCL3,0.000140485,-1.424058081
105377443,LINC02172,1.60E-07,-1.421677248
8547,FCN3,7.73E-09,-1.421653954
119587,CPXM2,7.39E-07,-1.419082108
283298,OLFML1,9.34E-08,-1.412022151
2740,GLP1R,6.67E-07,-1.408578373
641364,SLC7A11-AS1,0.000316591,-1.406946652
9021,SOCS3,0.002302718,-1.402191305
1281,COL3A1,0.00643963,-1.402153178
55273,TMEM100,9.58E-12,-1.397892348
5552,SRGN,1.39E-09,-1.394708867
102724046,LOC102724046,0.000497344,-1.39410751
8840,CCN4,1.56E-08,-1.392361286
9595,CYTIP,5.38E-05,-1.383123643
253935,ANGPTL5,8.74E-07,-1.382648183
3569,IL6,0.005749399,-1.381714952
6351,CCL4,0.002369397,-1.38093839
646324,LINC00607,1.77E-06,-1.379448816
128025,WDR64,0.000149805,-1.37725102
85480,TSLP,0.000336312,-1.375036569
969,CD69,0.001119034,-1.373866093
101927703,FOXCUT,0.000474472,-1.371673863
90102,PHLDB2,5.31E-07,-1.36878532
101927354,LINC03016,2.26E-05,-1.367892082
1293,COL6A3,0.001521905,-1.365009928
